date,breakfast_footfall_pct
2024-09-22,0.0
2024-09-23,8.93
2024-09-24,80.24
2024-09-25,12.24
2024-09-26,81.65
2024-09-27,47.87
2024-09-28,0.0
2024-09-29,0.0
2024-09-30,63.82
2024-10-01,77.19
2024-10-02,0.0
2024-10-03,79.26
2024-10-04,51.86
2024-10-05,0.0
2024-10-06,0.0
2024-10-07,66.88
2024-10-08,76.52
2024-10-09,84.59
2024-10-10,81.86
2024-10-11,50.13
2024-10-12,0.0
2024-10-13,0.0
2024-10-14,63.48
2024-10-15,73.39
2024-10-16,76.95
2024-10-17,79.65
2024-10-18,47.19
2024-10-19,0.0
2024-10-20,0.0
2024-10-21,62.89
2024-10-22,75.06
2024-10-23,76.17
2024-10-24,80.16
2024-10-25,48.38
2024-10-26,0.0
2024-10-27,0.0
2024-10-28,63.22
2024-10-29,74.09
2024-10-30,80.1
2024-10-31,32.39
2024-11-01,0.0
2024-11-02,0.0
2024-11-03,0.0
2024-11-04,63.35
2024-11-05,77.99
2024-11-06,77.57
2024-11-07,85.65
2024-11-08,54.48
2024-11-09,0.0
2024-11-10,0.0
2024-11-11,66.68
2024-11-12,78.74
2024-11-13,81.04
2024-11-14,80.4
2024-11-15,52.33
2024-11-16,0.0
2024-11-17,0.0
2024-11-18,61.3
2024-11-19,75.3
2024-11-20,76.49
2024-11-21,77.11
2024-11-22,53.98
2024-11-23,0.0
2024-11-24,0.0
2024-11-25,62.1
2024-11-26,75.64
2024-11-27,81.86
2024-11-28,74.84
2024-11-29,52.06
2024-11-30,0.0
2024-12-01,0.0
2024-12-02,44.37
2024-12-03,50.74
2024-12-04,57.1
2024-12-05,47.9
2024-12-06,37.15
2024-12-07,0.0
2024-12-08,0.0
2024-12-09,38.98
2024-12-10,46.27
2024-12-11,52.01
2024-12-12,56.54
2024-12-13,32.12
2024-12-14,0.0
2024-12-15,0.0
2024-12-16,38.43
2024-12-17,46.23
2024-12-18,52.36
2024-12-19,46.1
2024-12-20,28.67
2024-12-21,0.0
2024-12-22,0.0
2024-12-23,45.12
2024-12-24,53.3
2024-12-25,0.0
2024-12-26,51.13
2024-12-27,30.92
2024-12-28,0.0
2024-12-29,0.0
2024-12-30,41.11
2024-12-31,56.06
2025-01-01,0.0
2025-01-02,80.29
2025-01-03,51.96
2025-01-04,0.0
2025-01-05,0.0
2025-01-06,62.45
2025-01-07,76.66
2025-01-08,82.75
2025-01-09,79.54
2025-01-10,44.38
2025-01-11,0.0
2025-01-12,0.0
2025-01-13,66.46
2025-01-14,74.84
2025-01-15,86.7
2025-01-16,81.05
2025-01-17,49.69
2025-01-18,0.0
2025-01-19,0.0
2025-01-20,64.19
2025-01-21,76.2
2025-01-22,79.69
2025-01-23,79.76
2025-01-24,51.88
2025-01-25,0.0
2025-01-26,0.0
2025-01-27,61.75
2025-01-28,74.82
2025-01-29,80.04
2025-01-30,81.77
2025-01-31,53.42
2025-02-01,0.0
2025-02-02,0.0
2025-02-03,63.98
2025-02-04,78.07
2025-02-05,79.3
2025-02-06,81.57
2025-02-07,50.99
2025-02-08,0.0
2025-02-09,0.0
2025-02-10,61.08
2025-02-11,71.68
2025-02-12,77.71
2025-02-13,77.39
2025-02-14,52.64
2025-02-15,0.0
2025-02-16,0.0
2025-02-17,67.19
2025-02-18,75.31
2025-02-19,79.9
2025-02-20,79.9
2025-02-21,49.54
2025-02-22,0.0
2025-02-23,0.0
2025-02-24,65.51
2025-02-25,75.09
2025-02-26,83.56
2025-02-27,78.55
2025-02-28,51.8
2025-03-01,0.0
2025-03-02,0.0
2025-03-03,64.79
2025-03-04,77.9
2025-03-05,89.41
2025-03-06,85.25
2025-03-07,46.64
2025-03-08,0.0
2025-03-09,0.0
2025-03-10,64.31
2025-03-11,82.81
2025-03-12,81.01
2025-03-13,38.04
2025-03-14,0.0
2025-03-15,0.0
2025-03-16,0.0
2025-03-17,67.32
2025-03-18,77.67
2025-03-19,84.21
2025-03-20,76.73
2025-03-21,56.26
2025-03-22,0.0
2025-03-23,0.0
2025-03-24,64.68
2025-03-25,81.73
2025-03-26,85.9
2025-03-27,86.03
2025-03-28,17.37
2025-03-29,0.0
2025-03-30,0.0
2025-03-31,0.0
2025-04-01,80.11
2025-04-02,85.75
2025-04-03,84.73
2025-04-04,54.59
2025-04-05,0.0
2025-04-06,0.0
2025-04-07,64.23
2025-04-08,77.77
2025-04-09,87.91
2025-04-10,76.87
2025-04-11,55.72
2025-04-12,0.0
2025-04-13,0.0
2025-04-14,64.7
2025-04-15,79.55
2025-04-16,82.4
2025-04-17,34.53
2025-04-18,0.0
2025-04-19,0.0
2025-04-20,0.0
2025-04-21,68.95
2025-04-22,81.64
2025-04-23,85.57
2025-04-24,82.61
2025-04-25,47.57
2025-04-26,0.0
2025-04-27,0.0
2025-04-28,63.24
2025-04-29,78.63
2025-04-30,85.47
2025-05-01,0.0
2025-05-02,13.17
2025-05-03,0.0
2025-05-04,0.0
2025-05-05,68.18
2025-05-06,80.84
2025-05-07,84.38
2025-05-08,88.52
2025-05-09,52.58
2025-05-10,0.0
2025-05-11,0.0
2025-05-12,64.35
2025-05-13,84.58
2025-05-14,87.48
2025-05-15,87.27
2025-05-16,51.18
2025-05-17,0.0
2025-05-18,0.0
2025-05-19,68.16
2025-05-20,75.64
2025-05-21,86.36
2025-05-22,81.94
2025-05-23,47.82
2025-05-24,0.0
2025-05-25,0.0
2025-05-26,10.02
2025-05-27,82.35
2025-05-28,79.35
2025-05-29,77.2
2025-05-30,52.46
2025-05-31,0.0
2025-06-01,0.0
2025-06-02,64.54
2025-06-03,79.12
2025-06-04,83.01
2025-06-05,83.19
2025-06-06,51.39
2025-06-07,0.0
2025-06-08,0.0
2025-06-09,62.64
2025-06-10,76.3
2025-06-11,80.24
2025-06-12,80.0
2025-06-13,46.54
2025-06-14,0.0
2025-06-15,0.0
2025-06-16,6.33
2025-06-17,77.42
2025-06-18,80.77
2025-06-19,6.96
2025-06-20,50.25
2025-06-21,0.0
2025-06-22,0.0
2025-06-23,63.76
2025-06-24,69.88
2025-06-25,78.57
2025-06-26,78.9
2025-06-27,49.35
2025-06-28,0.0
2025-06-29,0.0
2025-06-30,63.7
2025-07-01,77.32
2025-07-02,85.1
2025-07-03,80.05
2025-07-04,48.65
2025-07-05,0.0
2025-07-06,0.0
2025-07-07,58.68
2025-07-08,72.8
2025-07-09,82.45
2025-07-10,82.06
2025-07-11,53.66
2025-07-12,0.0
2025-07-13,0.0
2025-07-14,60.77
2025-07-15,14.83
2025-07-16,80.18
2025-07-17,79.86
2025-07-18,55.03
2025-07-19,0.0
2025-07-20,0.0
2025-07-21,63.31
2025-07-22,80.68
2025-07-23,81.46
2025-07-24,82.31
2025-07-25,52.27
2025-07-26,0.0
2025-07-27,0.0
2025-07-28,63.45
2025-07-29,73.75
2025-07-30,80.27
2025-07-31,83.22
2025-08-01,51.87
2025-08-02,0.0
2025-08-03,0.0
2025-08-04,61.83
2025-08-05,75.57
2025-08-06,76.33
2025-08-07,83.1
2025-08-08,51.89
2025-08-09,0.0
2025-08-10,0.0
2025-08-11,62.63
2025-08-12,77.04
2025-08-13,75.14
2025-08-14,34.09
2025-08-15,0.0
2025-08-16,0.0
2025-08-17,0.0
2025-08-18,12.34
2025-08-19,13.55
2025-08-20,84.6
2025-08-21,81.85
2025-08-22,50.39
2025-08-23,0.0
2025-08-24,0.0
2025-08-25,62.96
2025-08-26,78.65
2025-08-27,0.0
2025-08-28,78.44
2025-08-29,45.01
2025-08-30,0.0
2025-08-31,0.0
2025-09-01,62.98
2025-09-02,77.59
2025-09-03,84.03
2025-09-04,75.31
2025-09-05,49.17
2025-09-06,0.0
2025-09-07,0.0
2025-09-08,62.79
2025-09-09,73.53
2025-09-10,82.31
2025-09-11,81.22
2025-09-12,48.72
2025-09-13,0.0
2025-09-14,0.0
2025-09-15,68.55
2025-09-16,75.64
2025-09-17,79.79
2025-09-18,7.26
2025-09-19,48.21
2025-09-20,0.0
2025-09-21,0.0
2025-09-22,60.8
2025-09-23,74.99
2025-09-24,77.13
2025-09-25,78.69
2025-09-26,49.65
2025-09-27,0.0
2025-09-28,0.0
2025-09-29,56.84
2025-09-30,76.22
2025-10-01,81.12
2025-10-02,0.0
2025-10-03,17.88
2025-10-04,0.0
2025-10-05,0.0
2025-10-06,66.25
2025-10-07,78.8
2025-10-08,79.33
2025-10-09,77.21
2025-10-10,51.07
2025-10-11,0.0
2025-10-12,0.0
2025-10-13,61.52
2025-10-14,73.19
2025-10-15,87.41
2025-10-16,78.36
2025-10-17,47.81
2025-10-18,0.0
2025-10-19,0.0
2025-10-20,11.17
2025-10-21,0.0
2025-10-22,0.0
2025-10-23,81.5
2025-10-24,46.84
2025-10-25,0.0
2025-10-26,0.0
2025-10-27,63.08
2025-10-28,79.12
2025-10-29,78.37
2025-10-30,79.42
2025-10-31,53.61
2025-11-01,0.0
2025-11-02,0.0
2025-11-03,56.37
2025-11-04,74.31
2025-11-05,78.56
2025-11-06,78.7
2025-11-07,49.37
2025-11-08,0.0
2025-11-09,0.0
2025-11-10,60.14
2025-11-11,74.74
2025-11-12,78.91
2025-11-13,78.26
2025-11-14,50.08
2025-11-15,0.0
2025-11-16,0.0
2025-11-17,65.46
2025-11-18,79.35
2025-11-19,82.76
2025-11-20,76.84
2025-11-21,49.49
2025-11-22,0.0
2025-11-23,0.0
2025-11-24,69.41
2025-11-25,79.24
2025-11-26,79.81
2025-11-27,83.48
2025-11-28,48.46
2025-11-29,0.0
2025-11-30,0.0
2025-12-01,39.14
2025-12-02,53.5
2025-12-03,49.11
2025-12-04,46.31
2025-12-05,34.71
2025-12-06,0.0
2025-12-07,0.0
2025-12-08,41.02
2025-12-09,50.07
2025-12-10,51.68
2025-12-11,50.83
2025-12-12,30.94
2025-12-13,0.0
2025-12-14,0.0
2025-12-15,39.26
2025-12-16,48.69
2025-12-17,51.53
2025-12-18,49.24
2025-12-19,30.7
2025-12-20,0.0
2025-12-21,0.0
2025-12-22,34.19
2025-12-23,51.57
2025-12-24,53.7
2025-12-25,0.0
2025-12-26,8.4
2025-12-27,0.0
2025-12-28,0.0
2025-12-29,41.59
2025-12-30,50.46
2025-12-31,50.7
2026-01-01,0.0
2026-01-02,11.84
2026-01-03,0.0
2026-01-04,0.0
2026-01-05,64.42
2026-01-06,77.06
2026-01-07,86.52
2026-01-08,83.57
2026-01-09,52.02
2026-01-10,0.0
2026-01-11,0.0
2026-01-12,60.94
2026-01-13,74.98
2026-01-14,78.29
2026-01-15,79.96
2026-01-16,42.1
2026-01-17,0.0
2026-01-18,0.0
2026-01-19,61.76
2026-01-20,75.67
2026-01-21,76.89
2026-01-22,81.35
2026-01-23,13.28
2026-01-24,0.0
2026-01-25,0.0
2026-01-26,0.0
2026-01-27,77.22
2026-01-28,88.52
2026-01-29,74.85
2026-01-30,49.1
2026-01-31,0.0
2026-02-01,0.0
2026-02-02,61.9
2026-02-03,74.87
2026-02-04,83.05
2026-02-05,82.19
2026-02-06,51.58
2026-02-07,0.0
2026-02-08,0.0
2026-02-09,61.05
2026-02-10,83.07
2026-02-11,76.22
2026-02-12,76.41
2026-02-13,49.96
2026-02-14,0.0
2026-02-15,0.0
2026-02-16,63.24
2026-02-17,77.81
2026-02-18,85.27
2026-02-19,78.88
2026-02-20,49.81
2026-02-21,0.0
2026-02-22,0.0
2026-02-23,61.4
2026-02-24,78.08
2026-02-25,80.14
2026-02-26,78.34
2026-02-27,50.97
2026-02-28,0.0
2026-03-01,0.0
2026-03-02,22.61
2026-03-03,0.0
2026-03-04,78.28
2026-03-05,83.34
2026-03-06,50.75
2026-03-07,0.0
2026-03-08,0.0
2026-03-09,68.08
2026-03-10,78.89
2026-03-11,87.75
2026-03-12,80.54
2026-03-13,45.46
2026-03-14,0.0
2026-03-15,0.0
2026-03-16,68.36
2026-03-17,77.28
2026-03-18,79.97
2026-03-19,0.0
2026-03-20,15.14
2026-03-21,0.0
2026-03-22,0.0
2026-03-23,64.87
2026-03-24,81.78
2026-03-25,86.65
2026-03-26,82.63
2026-03-27,49.1
2026-03-28,0.0
2026-03-29,0.0
2026-03-30,66.29
2026-03-31,80.01
